name,copy_other_time,copy_oram_time,copy_replacement_time,copy_pt_walk,copy_stream_time,scale_other_time,scale_oram_time,scale_replacement_time,scale_pt_walk,scale_stream_time,add_other_time,add_oram_time,add_replacement_time,add_pt_walk,add_stream_time,triad_other_time,triad_oram_time,triad_replacement_time,triad_pt_walk,triad_stream_time,faults
1MB,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2MB,0.04043199887,0.8628407311,0.0222472721,0.006183104722,0.06829689319,0.0280388162,0.5866755259,0.01476933055,0.1450848796,0.2254314477,0.03959207057,0.8334082391,0.02159734441,0.005472796457,0.09992954948,0.03880719839,0.8292500394,0.02119498734,0.04561316391,0.06513461096,46
4MB,0.02418297356,0.9401829497,0.01333965441,0.01542774217,0.006866680182,0.0360527906,0.8944873645,0.02047360926,0.03157263238,0.01741360322,0.03597971416,0.8909704676,0.01991415122,0.03221948299,0.02091618398,0.03640090395,0.894414117,0.01995137649,0.03423061852,0.01500298405,521.5
8MB,0.03267995233,0.9190059031,0.01580694926,0.02329539015,0.009211805185,0.03288757067,0.9163824443,0.01563125887,0.025786215,0.009312511199,0.02791456241,0.9282959656,0.01344124254,0.0224185811,0.007929648325,0.0326870757,0.9189660437,0.0157554276,0.02636975831,0.006221694651,1705
16MB,0.02972146304,0.9238554486,0.01515537284,0.02285472737,0.008412988118,0.02962808742,0.9226894983,0.01504527789,0.02419717939,0.008439957045,0.02966629741,0.9222471867,0.01533262497,0.02436337007,0.00839052085,0.02560114111,0.9348981656,0.01328377149,0.02118081649,0.005036105311,3408.5
