name,512,1024,2048,4096,8192,memused,heap,code,global,stack
1mb,0.1935091935,0.1938731835,0.1880769076,0.1859720471,0.2236645963,64.4296875,391355,28858,9807,0
8mb,0.1914170063,0.2249393483,0.1751261541,0.2284683884,0.1785787314,80.71875,426034,30776,12152,0
16mb,0.1811887053,0.2094179341,0.1731919434,0.1226368905,0.1480844374,96.859375,455501,38091,16646,0
64mb,0.1831847803,0.1932634091,0.2150771111,0.1057916624,0.06751172807,153.6171875,731331,189097,127953,0
