name,baseline,heap,code,global,stack,gpt,block_used
32,0.9715806188,2425,2779,760,366,28,799
64,0.9066053237,3586,3882,1058,806,28,801
256,0.8249954407,2396,2829,769,337,29,801
512,0.511000465,7264,8580,2251,1238,29,803
2048,0.5707601106,4857,5914,1568,995,28,803
4096,0.4733337056,11827,14750,3696,2061,28,803
